config_name,threshold,min_length,laugh_count,total_laughter_seconds,output_folder
threshold_0.3_minlen_0.2,0.3,0.2,86,685.9138255968311,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.3_minlen_0.2
threshold_0.3_minlen_0.6,0.3,0.6,86,685.9138255968311,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.3_minlen_0.6
threshold_0.3_minlen_1,0.3,1.0,84,684.0985615111746,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.3_minlen_1
threshold_0.5_minlen_0.2,0.5,0.2,80,381.275275837305,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.5_minlen_0.2
threshold_0.5_minlen_0.6,0.5,0.6,79,380.8098235076495,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.5_minlen_0.6
threshold_0.5_minlen_1,0.5,1.0,72,375.22439555178323,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.5_minlen_1
threshold_0.7_minlen_0.2,0.7,0.2,54,146.94330047224244,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.7_minlen_0.2
threshold_0.7_minlen_0.6,0.7,0.6,53,146.40803029313852,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.7_minlen_0.6
threshold_0.7_minlen_1,0.7,1.0,42,138.16952405823596,/content/drive/MyDrive/FreekdeJonge/laughter_detection_comparisons/2025 - Freek de Jonge - Club Haug Rotterdam 22 april én KS Den Haag 23 april De Zeeuwse Jaren/20260518_081759/threshold_0.7_minlen_1
