index,start,end,duration,filename,is_laughter_manual,confidence_manual,notes
0,202.49503601662644,203.49575852538575,1.00072250875931,laugh_000.wav,,,
1,234.16906704968338,235.7283323540293,1.559265304345928,laugh_001.wav,,,
2,238.14868446823795,239.38213314182502,1.2334486735870769,laugh_002.wav,,,
3,242.64029944941353,244.40901830210444,1.7687188526909097,laugh_003.wav,,,
4,253.46206611390397,257.4882287654241,4.02616265152011,laugh_004.wav,,,
5,288.7898979347566,291.5127940632413,2.722896128484706,laugh_005.wav,,,
6,294.0495092598638,303.4981915518705,9.448682292006708,laugh_006.wav,,,
7,330.4246088224413,333.147504950926,2.722896128484706,laugh_007.wav,,,
8,418.86055145698685,421.00163217340213,2.1410807164152743,laugh_008.wav,,,
9,444.39061173859113,445.7869687275577,1.396356988966545,laugh_009.wav,,,
10,488.86458183717446,491.494387499728,2.629805662553565,laugh_010.wav,,,
11,507.7619464211879,511.4390198254663,3.677073404278417,laugh_011.wav,,,
12,515.8608169571936,518.4440773867816,2.5832604295879946,laugh_012.wav,,,
13,530.5691105743075,532.4309198929295,1.8618093186220221,laugh_013.wav,,,
14,588.6110160823487,589.6815564405563,1.0705403582076087,laugh_014.wav,,,
15,640.9744031685927,648.7241844573568,7.7497812887640976,laugh_015.wav,,,
16,657.288507323018,659.4994058888817,2.2108985658636584,laugh_016.wav,,,
17,661.9663032360559,669.3437226610956,7.377419425039761,laugh_017.wav,,,
18,673.7887924093056,677.1167765663425,3.3279841570368944,laugh_018.wav,,,
19,681.3058475332421,683.9123805793129,2.6065330460708083,laugh_019.wav,,,
20,693.0119736240779,694.6177841613894,1.6058105373115268,laugh_020.wav,,,
21,707.4642684598813,712.0257012905051,4.561432830623858,laugh_021.wav,,,
22,716.0053187090597,718.1929446584406,2.1876259493809584,laugh_022.wav,,,
23,720.5900241561665,724.8256403560315,4.235616199865035,laugh_023.wav,,,
24,734.507048812866,737.7186698874889,3.21162107462294,laugh_024.wav,,,
25,748.2378925377033,754.381863289156,6.1439707514526845,laugh_025.wav,,,
26,756.8022154033646,761.2472851515746,4.445069748210017,laugh_026.wav,,,
27,786.2188026375923,788.9882439990425,2.7694413614502764,laugh_027.wav,,,
28,869.2089530151684,870.8613087854454,1.6523557702770404,laugh_028.wav,,,
29,881.5434397510393,884.9412417575244,3.397802006485108,laugh_029.wav,,,
30,885.5463297860766,887.5012295706297,1.9548997845530494,laugh_030.wav,,,
31,888.7812234771823,891.713573154012,2.9323496768297446,laugh_031.wav,,,
32,896.2284607516704,897.3920915758091,1.1636308241387496,laugh_032.wav,,,
33,903.7687884920895,910.8203912863704,7.051602794280939,laugh_033.wav,,,
34,912.8451089203718,916.3825466257537,3.537437705381876,laugh_034.wav,,,
35,989.0396552849776,997.4410698352594,8.401414550281856,laugh_035.wav,,,
36,1003.0497704076082,1004.1203107658158,1.0705403582076087,laugh_036.wav,,,
37,1014.0111727709954,1015.2446214445824,1.2334486735870769,laugh_037.wav,,,
38,1017.874427107136,1022.7616765685187,4.887249461382794,laugh_038.wav,,,
39,1031.3492720506629,1032.8387195055604,1.4894474548975722,laugh_039.wav,,,
40,1037.0045178559772,1041.5659506866011,4.561432830623971,laugh_040.wav,,,
41,1050.1070009357795,1052.6669887488847,2.559987813105181,laugh_041.wav,,,
